hangul_word,english_phrase
물,water
우유,milk
커피,coffee
차,tea
밥,"steamed rice, meal"
사람,"human, person"
친구,friend
학생,student
가방,bag
책,book
핸드폰,mobile phone
컴퓨터,computer
차,car
집,"house, home"
사무실,office
학교,school
뉴스,news
영화,movie
하다,to do
가다,to go
오다,to come
보다,"to see, to watch, to look at"
먹다,to eat
사다,to buy
자다,to sleep
읽다,to read
일하다,to work
공부하다,to study
청소하다,to clean
요리하다,to cook
운동하다,to exercise
사랑하다,to love
멋있다,"to be nice, to be stylish"
재미있다,"to be fun, to be interesting"
이상하다,to be strange
크다,to be big
무겁다,to be heavy
배고프다,to be hungry
맵다,to be spicy
아프다,to be hurting
어떻게,how
왜,why
언제,when
오늘,today
어제,yesterday
내일,tomorrow
지금,now
아까,"earlier (today), a while ago (today)"
나중에,"later, next time"
옷,clothes
청바지,jeans
치마,skirt
지갑,wallet
모자,"hat, cap"
선생님,teacher
형,older brother
언니,older sister
남동생,younger brother
여동생,younger sister
초등학생,elementary school student
중학생,middle school student
고등학생,high school student
대학생,university student
달리다,to run
출근하다,to go to work
살다,to live
입다,"to put on, to wear"
만나다,to meet
만지다,to touch
보내다,to send
사다,to buy
늦다,to be late
빠르다,to be fast
비싸다,to be expensive
나쁘다,to be bad
바쁘다,to be busy
무섭다,to be scary
예쁘다,to be pretty
착하다,to be kind
길다,to be long
작다,to be small
춥다,to be cold
덥다,to be hot
멀다,to be far
피곤하다,to be tired
혼자,alone
많이,a lot
매일,every day
빨리,quickly
같이,together
벌써,already
조금,"a little, a bit, a little bit"
정말,"really, truly"
아주,"very, quite"
별로,"not really, not particularly"
전혀,not at all
1월,January
2월,February
3월,March
4월,April
5월,May
6월,June
7월,July
8월,August
9월,September
10월,October
11월,November
12월,December
월요일,Monday
화요일,Tuesday
수요일,Wednesday
목요일,Thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
