hangul_word_wo_hadaa,hangul_word_original,english_phrase,hanja_word
,하다,to do,
-들,-들,plural marker,
가게,가게,store / shop,
가다,가다,to go,
가르치다,가르치다,to teach,
가방,가방,bag,街坊
가위바위보,가위바위보,"rock, paper, scissors",
가족,가족,family,家族
간호사,간호사,nurse,看護師
갈색,갈색,brown,褐色
갈아타다,갈아타다,to transfer,
감기,감기,cold,感氣
같이,같이,together,
개,개,counting unit for general items,
걱정,걱정,worry / concern,
건강,건강,health,健康
걷다,걷다,to walk,
걸리다,걸리다,to take (time),
결혼,결혼하다,to marry,結婚
결혼,결혼,marriage,結婚
경주,경주,Gyeongju,
계시다,계시다,to be/to stay (honorific),
고기,고기,meat,
고등학생,고등학생,high school student,高等學生
고민,고민,agony / worry,苦悶
고속터미널역,고속터미널역,Express Bus Terminal Station,
공,공,zero,
공부,공부,study / learning,
공부,공부하다,to study,
공원,공원,park,
공책,공책,notebook,空冊
공항,공항,airport,空港
과일,과일,fruit,
괜찮다,괜찮다,alright,
교대역,교대역,Seoul Nat'l Univ. of Education Station,
교실,교실,classroom,敎室
구,구,nine,
구두,구두,dress shoes,口頭
구월,구월,September,九月
국적,국적,nationality,國籍
귀,귀,ear,
그,그,that,
그거,그거,that (one),
그래서,그래서,so,
그런데,그런데,but/ by the way,
그럼,그럼,then / in that case,
그렇지만,그렇지만,but,
그리고,그리고,and,
그리다,그리다,to draw to paint,
그림,그림,picture / drawing,
그분,그분,that person (honorific),
극장,극장,movie theater,劇場
금요일,금요일,Friday,金曜日
기다리다,기다리다,to wait,
기분,기분,feeling,氣分
기숙사,기숙사,dormitory,寄宿舍
기자,기자,reporter,記者
기차,기차,train,汽車
기차표,기차표,train ticket,
기침,기침,cough,
기타,기타,guitar,其他
길,길,road / way,
길다,길다,long,
김밥,김밥,gimbap,
김치,김치,kimchi,
까만색,까만색,black,
깎다,깎다,to discount,
꽃,꽃,flower,
끝나다,끝나다,to be finished,
끝내다,끝내다,to finish,
나다,나다,to have (a fever/a runny nose),
나쁘다,나쁘다,bad,
날씨,날씨,weather,
남대문시장,남대문시장,Namdaemun Market,南大門市場
