hangul_word_wo_hadaa,hangul_word_original,english_phrase,hanja_word
,하다,to do,
10월,10월,October,
11월,11월,November,
12월,12월,December,
1월,1월,January,
2월,2월,February,
3월,3월,March,
4월,4월,April,
5월,5월,May,
6월,6월,June,
7월,7월,July,
8월,8월,August,
9월,9월,September,
가다,가다,to go,
가방,가방,bag,街坊
같이,같이,together,
고등학생,고등학생,high school student,高等學生
공부,공부하다,to study,
금요일,금요일,Friday,金曜日
길다,길다,to be long,
나쁘다,나쁘다,to be bad,
나중에,나중에,"later, next time",
남동생,남동생,younger brother,
내일,내일,tomorrow,來日
뉴스,뉴스,news,
늦다,늦다,to be late,
달리다,달리다,to run,
대학생,대학생,university student,大學生
덥다,덥다,to be hot,
만나다,만나다,to meet,
만지다,만지다,to touch,
많이,많이,a lot,
매일,매일,every day,每日
맵다,맵다,to be spicy,
먹다,먹다,to eat,
멀다,멀다,to be far,
멋있다,멋있다,"to be nice, to be stylish",
모자,모자,"hat, cap",
목요일,목요일,Thursday,木曜日
무겁다,무겁다,to be heavy,
무섭다,무섭다,to be scary,
물,물,water,
바쁘다,바쁘다,to be busy,
밥,밥,"steamed rice, meal",
배고프다,배고프다,to be hungry,
벌써,벌써,already,
별로,별로,"not really, not particularly",
보내다,보내다,to send,
보다,보다,"to see, to watch, to look at",
비싸다,비싸다,to be expensive,
빠르다,빠르다,to be fast,
빨리,빨리,quickly,
사다,사다,to buy,
사다,사다,to buy,
사람,사람,"human, person",
사랑,사랑하다,to love,舍廊
사무실,사무실,office,事務室
살다,살다,to live,
선생님,선생님,teacher,
수요일,수요일,Wednesday,水曜日
아까,아까,"earlier (today), a while ago (today)",
아주,아주,"very, quite",
아프다,아프다,to be hurting,
어떻게,어떻게,how,
어제,어제,yesterday,
언니,언니,older sister,
언제,언제,when,
여동생,여동생,younger sister,女同生
영화,영화,movie,
예쁘다,예쁘다,to be pretty,
오늘,오늘,today,
오다,오다,to come,
옷,옷,clothes,
왜,왜,why,
요리,요리하다,to cook,料理
우유,우유,milk,牛乳
운동,운동하다,to exercise,運動
월요일,월요일,Monday,月曜日
이상,이상하다,to be strange,
일,일하다,to work,
일요일,일요일,Sunday,日曜日
읽다,읽다,to read,
입다,입다,"to put on, to wear",
자다,자다,to sleep,
작다,작다,to be small,
재미있다,재미있다,"to be fun, to be interesting",
전혀,전혀,not at all,
정말,정말,"really, truly",
조금,조금,"a little, a bit, a little bit",
중학생,중학생,middle school student,中學生
지갑,지갑,wallet,紙匣
지금,지금,now,只今
집,집,"house, home",
차,차,tea,
차,차,car,
착,착하다,to be kind,
책,책,book,
청바지,청바지,jeans,
청소,청소하다,to clean,淸掃
초등학생,초등학생,elementary school student,初等學生
출근,출근하다,to go to work,出勤
춥다,춥다,to be cold,
치마,치마,skirt,
친구,친구,friend,親舊
커피,커피,coffee,
컴퓨터,컴퓨터,computer,
크다,크다,to be big,
토요일,토요일,Saturday,土曜日
피곤,피곤하다,to be tired,疲困
학교,학교,school,學校
학생,학생,student,學生
핸드폰,핸드폰,mobile phone,
형,형,older brother,
혼자,혼자,alone,
화요일,화요일,Tuesday,火曜日
