hangul_word,num_hanja,hanja_word
구,349,"['丘', '丠', '丩', '久', '乆', '九', '亀', '仇', '伛', '佉', '佝', '俅', '俱', '倃', '倶', '傴', '具', '冓', '冦', '剾', '劬', '劶', '勼', '勾', '匓', '匛', '匶', '区', '區', '厩', '厹', '口', '句', '叴', '呕', '呴', '咎', '嘔', '坵', '坸', '垢', '埧', '够', '夠', '奺', '妪', '姤', '媾', '嫗', '宼', '寇', '寠', '屦', '屨', '岖', '岣', '岴', '嶇', '巯', '巰', '廄', '廏', '廐', '彀', '彄', '忂', '怐', '惧', '愳', '慦', '懼', '戵', '扏', '扣', '抅', '抠', '拘', '捄', '搆', '搝', '摳', '撀', '敂', '救', '敺', '斪', '旧', '昫', '朐', '朹', '杦', '构', '枸', '柩', '桕', '梂', '椇', '榘', '構', '欋', '欍', '欧', '欨', '歐', '殏', '殴', '毆', '毬', '氍', '求', '汣', '沟', '沤', '泃', '浗', '溝', '滱', '漚', '灈', '灸', '煹', '熰', '爠', '牞', '犋', '犰', '狗', '玖', '玽', '球', '璆', '瓯', '甌', '畂', '疚', '痀', '癯', '皳', '盚', '眍', '眗', '瞉', '瞘', '瞿', '矩', '究', '窛', '窭', '窶', '竘', '竬', '笱', '筘', '篝', '簆', '簼', '粂', '糗', '紌', '絇', '絿', '緱', '缑', '翑', '耇', '耈', '耉', '聥', '肍', '胊', '脙', '膒', '臞', '臼', '舅', '舊', '舏', '艽', '芶', '苟', '茩', '萛', '葋', '蒟', '蓲', '蔲', '蔻', '蘒', '蚯', '蚼', '蛷', '蝺', '蠷', '蠼', '衢', '袧', '裘', '褠', '覯', '觏', '觓', '觩', '訄', '訅', '訽', '詬', '謳', '讴', '诟', '豿', '賕', '購', '购', '赇', '跔', '躣', '躯', '軀', '軥', '逑', '遘', '邭', '邱', '釓', '釚', '釦', '鈎', '鉤', '銶', '鑺', '钆', '钩', '镹', '阄', '雊', '鞲', '韝', '韭', '韮', '韯', '颶', '飓', '駆', '駈', '駒', '驅', '驱', '驹', '鬮', '鮈', '鯄', '鯦', '鰸', '鳩', '鴎', '鴝', '鷇', '鷗', '鸜', '鸠', '鸥', '鸲', '麔', '鼩', '鼽', '齨', '龜', '龟', '㐀', '㐜', '㐤', '㓂', '㔚', '㕤', '㖵', '㗕', '㘗', '㘳', '㙀', '㚱', '㛏', '㜹', '㝌', '㝤', '㞗', '㟈', '㡚', '㡱', '㣘', '㤹', '㧨', '㨌', '㪺', '㬬', '㭝', '㰶', '㲃', '㲄', '㲘', '㳋', '㳰', '㶢', '㸨', '㺃', '㺫', '㺵', '㻤', '㽛', '䀠', '䂂', '䃓', '䄔', '䅓', '䆒', '䈮', '䉩', '䊆', '䊵', '䋧', '䐟', '䑦', '䓻', '䙔', '䛮', '䜪', '䝭', '䞤', '䟬', '䟵', '䡂', '䣇', '䤛', '䥲', '䦰', '䧢', '䧱', '䧶', '䪷', '䬨', '䬲', '䮃', '䰗', '䲥', '䲫', '䳎', '䳹', '䳼', '䵶', '䶚']"
수,306,"['俢', '修', '倕', '傁', '兽', '凁', '厜', '収', '受', '叜', '叟', '售', '嗖', '嗽', '嚺', '囚', '圳', '垂', '垨', '埀', '壽', '夀', '娷', '媭', '嫂', '嬃', '嬘', '嬦', '守', '寿', '岫', '峀', '嶲', '嶿', '帅', '帥', '幁', '廀', '廋', '惥', '惾', '愁', '戍', '手', '扌', '捜', '授', '掱', '搜', '摉', '摗', '擞', '擻', '收', '数', '數', '旞', '晬', '杸', '树', '栦', '樇', '樹', '橾', '檖', '櫢', '欶', '殊', '殳', '水', '氵', '氺', '汓', '泅', '洙', '浽', '涭', '溲', '滖', '滫', '漱', '潄', '澻', '濉', '瀡', '瀭', '煫', '燧', '狩', '獀', '獣', '獸', '琇', '璓', '璲', '瓍', '痩', '瘦', '瘶', '盨', '睟', '睡', '睢', '瞍', '祟', '禭', '秀', '稤', '穂', '穗', '穟', '竖', '竪', '篲', '籔', '粋', '粹', '糔', '絒', '綇', '綉', '綏', '綬', '繍', '繡', '繸', '繻', '纗', '绣', '绥', '绶', '缍', '羞', '脩', '脺', '脽', '腄', '腧', '膄', '膸', '臹', '艏', '苬', '茱', '荾', '菙', '蒐', '蓃', '蓚', '蓨', '蕦', '薮', '藪', '虽', '螋', '袖', '裋', '襚', '訹', '詶', '誰', '誶', '譢', '讎', '讐', '谁', '谇', '豎', '賥', '軗', '輸', '输', '遀', '遂', '邃', '鄋', '酧', '酬', '醙', '醻', '銖', '銹', '鎀', '鎪', '鏅', '鏉', '鏥', '鏽', '鐆', '鐩', '铢', '锈', '锼', '閖', '陎', '陲', '隋', '随', '隧', '隨', '雔', '雖', '雠', '需', '須', '须', '颼', '飕', '餿', '饈', '馊', '馐', '首', '騪', '髄', '髓', '鬚', '魗', '鮂', '鰽', '㑔', '㑯', '㒘', '㒸', '㖟', '㖬', '㘜', '㛐', '㛢', '㛮', '㛸', '㜐', '㝊', '㝽', '㟬', '㢑', '㣊', '㥅', '㥞', '㥨', '㱁', '㲑', '㲓', '㲙', '㲣', '㴚', '㵞', '㵦', '㸂', '㸡', '㹋', '㻟', '㻽', '㼡', '㽷', '䄖', '䅡', '䅫', '䆳', '䇓', '䇕', '䈭', '䈹', '䉌', '䉤', '䋶', '䍁', '䍋', '䏂', '䐰', '䐹', '䒘', '䔹', '䔺', '䕑', '䗏', '䗛', '䛵', '䜐', '䜔', '䜬', '䜿', '䝂', '䝐', '䠔', '䠼', '䡭', '䡵', '䢘', '䢫', '䤇', '䤹', '䥙', '䥦', '䧌', '䩳', '䬒', '䭉', '䭨', '䭭', '䮟', '䯝', '䰅', '䰑', '䱸', '䳠']"
기,300,"['丌', '亓', '企', '伎', '倛', '僛', '僟', '其', '兾', '冀', '刉', '刏', '剘', '剞', '叽', '呚', '呩', '呮', '唭', '嗜', '嘰', '噐', '器', '圻', '坖', '基', '埼', '塈', '墍', '夔', '夡', '奇', '妀', '妓', '娸', '婍', '寄', '屺', '岂', '岐', '岓', '崎', '嵜', '己', '帺', '幾', '庋', '庪', '弃', '徛', '忌', '忮', '怾', '惎', '愭', '懻', '技', '掎', '掑', '攰', '攲', '敧', '旂', '旗', '旡', '既', '旣', '暣', '暨', '曁', '朞', '期', '杞', '桤', '梞', '棄', '棊', '棋', '榿', '槣', '樭', '機', '檱', '櫀', '欺', '歧', '气', '気', '氣', '汽', '沂', '淇', '渏', '溰', '濝', '炁', '焏', '猉', '玂', '玑', '玘', '琦', '琪', '璂', '璣', '畸', '畿', '盀', '盵', '矶', '碁', '碕', '磯', '祁', '祇', '祈', '祺', '禥', '禨', '稘', '稩', '穊', '穖', '竒', '箕', '簊', '簯', '簱', '籏', '粸', '紀', '綥', '綦', '綨', '綺', '纪', '绮', '羁', '羇', '羈', '耆', '耭', '肌', '肵', '臮', '芑', '芪', '芰', '萁', '蔇', '蕲', '藄', '蘄', '蘎', '蘷', '虁', '虮', '蚑', '蚔', '蚚', '蜝', '蜞', '螧', '蟣', '衹', '裿', '褀', '覉', '覊', '覬', '觊', '觭', '記', '誋', '諅', '諆', '譏', '讥', '记', '豈', '起', '跂', '跽', '踑', '踦', '躨', '躸', '軝', '邔', '鄿', '錡', '錤', '鐖', '锜', '陭', '隑', '鞿', '頎', '颀', '飢', '饑', '饥', '騎', '騏', '驥', '骐', '骑', '骥', '鬐', '鬾', '鬿', '魌', '魕', '魢', '鯕', '鰭', '鱀', '鱾', '鲯', '鳍', '鵋', '鵸', '鶀', '麒', '黖', '齮', '﨑', '㒫', '㖉', '㙋', '㙨', '㚡', '㚻', '㞆', '㞓', '㞛', '㞯', '㞿', '㟓', '㟚', '㟢', '㠌', '㠱', '㡬', '㡮', '㥍', '㥓', '㨳', '㩻', '㩽', '㫅', '㫓', '㫷', '㯦', '㰟', '㱦', '㲹', '㼄', '㽶', '䀈', '䃆', '䄎', '䄫', '䅲', '䇫', '䉻', '䋟', '䎛', '䐀', '䑴', '䒻', '䓅', '䓫', '䓽', '䔇', '䕤', '䕫', '䗁', '䘛', '䙫', '䛗', '䛴', '䝸', '䞚', '䟇', '䟚', '䡋', '䢋', '䢎', '䢳', '䤒', '䥓', '䩓', '䩭', '䫏', '䭶', '䭼', '䰇', '䳢', '䶞']"
사,291,"['丝', '乍', '亊', '事', '亖', '些', '仕', '伺', '似', '佀', '佘', '使', '俟', '倳', '倽', '傞', '傻', '僿', '儍', '儩', '写', '冩', '剚', '卸', '厍', '厙', '厶', '叓', '史', '司', '咋', '咝', '唆', '唦', '啥', '喳', '嗄', '嗣', '嘥', '噝', '四', '塮', '士', '奢', '姒', '娑', '娰', '孠', '寫', '寺', '射', '屣', '峫', '嵖', '巳', '师', '師', '徙', '思', '恖', '戺', '挱', '挲', '捨', '揸', '摣', '斜', '斯', '柌', '柤', '查', '柶', '査', '桫', '桬', '梭', '楂', '楒', '榭', '榹', '樝', '死', '汜', '沙', '泀', '泗', '泤', '泻', '洍', '浉', '涘', '涻', '渣', '溮', '漇', '瀃', '瀉', '灺', '燍', '牭', '狮', '猀', '猞', '猹', '獅', '瑡', '痧', '皶', '皻', '砂', '砟', '硰', '碴', '磃', '社', '祀', '祠', '禗', '禠', '禩', '私', '竢', '笥', '筛', '篩', '簁', '簑', '簔', '籭', '粆', '紗', '絲', '纱', '缷', '耍', '耜', '肀', '肂', '肆', '舍', '舎', '莎', '莏', '葸', '蒒', '蓑', '蓰', '蕬', '蕼', '藛', '虒', '虵', '蛇', '蛳', '蜡', '蜤', '螄', '蟖', '蟴', '衺', '裟', '覗', '訯', '詐', '詞', '誜', '謝', '诈', '词', '谢', '貄', '賒', '賖', '賜', '赊', '赐', '赦', '蹅', '蹝', '躧', '辝', '辞', '辤', '辭', '逤', '邪', '釲', '釶', '鈶', '鈻', '鉂', '鉇', '鉈', '鉰', '銯', '鋖', '鍦', '鐁', '铊', '閯', '飤', '飼', '餷', '饲', '馇', '駛', '駟', '騇', '騦', '驶', '驷', '髿', '魦', '魳', '鮻', '鯊', '鯋', '鰤', '鲨', '鳾', '鶳', '鷥', '鸶', '麝', '鼶', '齄', '㐶', '㓔', '㕐', '㕜', '㕽', '㖿', '㙦', '㚶', '㛖', '㜁', '㝍', '㟃', '㠺', '㠼', '㡸', '㩄', '㭒', '㱔', '㱝', '㲚', '㴓', '㴬', '㴲', '㵃', '㵔', '㵼', '㸺', '㸻', '㹑', '㹬', '㺨', '㺰', '㽄', '㾚', '㾴', '㾹', '䀅', '䄕', '䇁', '䇃', '䉣', '䎣', '䏤', '䓾', '䔋', '䔑', '䔮', '䛐', '䞏', '䠶', '䣃', '䣉', '䣳', '䤬', '䥱', '䥾', '䦉', '䩖', '䫢', '䬷', '䭄', '䯯', '䲉', '䴓', '䵦']"
비,279,"['丕', '仳', '伾', '俷', '俻', '俾', '偹', '備', '僃', '剕', '匕', '匪', '卑', '厞', '呸', '啚', '啤', '噽', '嚊', '嚭', '圮', '坒', '埤', '壀', '备', '夶', '奜', '奰', '妃', '妣', '婓', '婔', '婢', '媲', '嫓', '嬶', '屁', '屄', '屝', '岯', '崥', '庀', '庇', '庳', '怌', '悂', '悱', '悲', '惫', '憊', '扉', '批', '抷', '斐', '昲', '暃', '曊', '朇', '朼', '枇', '枈', '柲', '棐', '椑', '榌', '榧', '比', '毖', '毗', '毘', '毞', '毴', '沘', '沸', '泌', '淝', '淠', '渄', '渒', '濞', '焷', '犕', '狉', '狒', '猆', '琵', '畀', '畁', '疕', '疪', '疿', '痞', '痱', '痹', '痺', '睤', '睥', '砒', '碑', '磇', '祕', '禆', '秕', '秘', '秠', '笓', '箄', '箆', '篚', '篦', '簲', '粃', '粊', '糒', '紕', '緋', '纰', '绯', '罴', '羆', '翡', '聛', '肥', '肶', '脴', '脾', '腓', '腗', '膍', '臂', '舭', '芘', '芾', '苤', '菲', '萆', '萉', '萞', '蓖', '蕜', '薭', '蚍', '蚽', '蜚', '蜰', '蜱', '螕', '螷', '蟦', '蠯', '裨', '裶', '襣', '誹', '諀', '譬', '诽', '豍', '豼', '豾', '貔', '費', '贔', '费', '赑', '轡', '辔', '邳', '郫', '鄙', '鄪', '鈈', '鈚', '鉟', '錍', '鎞', '鐨', '钚', '镄', '閟', '阰', '陫', '陴', '隦', '霏', '靅', '非', '靟', '鞞', '鞴', '飛', '飝', '飞', '餥', '馡', '駓', '騑', '騛', '髀', '髬', '魮', '魾', '鯡', '鲱', '鼙', '鼻', '㑭', '㔈', '㔗', '㔻', '㗠', '㗺', '㘘', '㘩', '㠲', '㡙', '㣁', '㥱', '㧙', '㩌', '㩺', '㪏', '㫵', '㮰', '㳪', '㵒', '㵺', '㸢', '㹃', '㺽', '㼰', '㽡', '㿙', '㿫', '䀝', '䀟', '䀣', '䁹', '䃾', '䆏', '䇑', '䈈', '䉾', '䊌', '䊧', '䎵', '䑄', '䒈', '䕁', '䕗', '䘡', '䙍', '䚜', '䚰', '䚹', '䛍', '䠊', '䠋', '䡟', '䡶', '䣥', '䤏', '䤵', '䨽', '䨾', '䩀', '䩁', '䪐', '䪟', '䫁', '䫌', '䫠', '䬠', '䮆', '䯱', '䰁', '䰦', '䲹', '䴽']"
전,278,"['专', '伝', '传', '佃', '佺', '倎', '偂', '傎', '傳', '全', '典', '前', '剪', '剸', '厧', '叀', '吮', '唺', '啭', '囀', '堟', '塡', '填', '塼', '壂', '壥', '奠', '姾', '婝', '婰', '媊', '嫥', '孨', '專', '屇', '展', '峑', '嵮', '巅', '巓', '巔', '帴', '廛', '彅', '恮', '悛', '战', '戦', '戩', '戬', '戰', '拴', '捵', '揃', '搌', '搷', '擶', '攧', '敟', '旃', '旜', '晪', '暷', '朘', '栓', '栴', '椣', '椫', '椾', '榐', '槇', '槙', '樿', '橏', '櫤', '歬', '殿', '毡', '氈', '氊', '沺', '淟', '湔', '湹', '滇', '澱', '澶', '瀍', '烇', '煎', '牋', '牷', '猠', '琠', '瑐', '瑑', '瑔', '瑱', '瑼', '璳', '甎', '田', '电', '甸', '畋', '畑', '畠', '痊', '痶', '瘨', '癜', '癫', '癲', '皽', '盷', '睓', '砖', '硂', '碊', '碘', '磌', '磚', '窴', '竱', '笺', '筌', '箋', '箭', '篆', '篯', '篿', '籛', '糋', '絟', '緾', '縓', '纏', '纒', '缠', '羴', '羶', '翦', '脠', '腆', '腞', '膞', '膻', '臇', '荃', '葏', '葥', '蒃', '蕇', '蜔', '蟤', '覥', '觍', '詮', '諓', '諯', '謭', '譾', '诠', '谫', '賟', '跈', '跧', '蹍', '蹎', '躔', '転', '輇', '輾', '轉', '转', '辁', '辗', '邅', '鄟', '鄽', '鈿', '銓', '銭', '鋑', '錢', '錪', '鎆', '鎸', '鐉', '鐫', '钱', '钿', '铨', '镌', '闐', '阗', '隽', '電', '靛', '靦', '顓', '顚', '顛', '顫', '颛', '颠', '颤', '飦', '餞', '餰', '饘', '饯', '馢', '駩', '騚', '騡', '鬋', '鱄', '鱣', '鳣', '鴫', '鷆', '鷏', '鸇', '鹯', '齻', '㒰', '㒹', '㔊', '㕓', '㙉', '㙻', '㜊', '㞟', '㞡', '㠭', '㡐', '㢆', '㥏', '㦮', '㧂', '㨵', '㫋', '㭵', '㮵', '㰄', '㰜', '㷙', '㻇', '㼷', '䀬', '䁴', '䇳', '䍹', '䏝', '䐌', '䐪', '䓦', '䔐', '䟢', '䟧', '䠄', '䡀', '䡒', '䡘', '䡱', '䣑', '䥖', '䧃', '䧖', '䧘', '䧠', '䩄', '䩅', '䬻', '䱳', '䱼', '䳪']"
유,275,"['丣', '乳', '侑', '俞', '偤', '儒', '兪', '冘', '匬', '卣', '呦', '唀', '唯', '喩', '喻', '嚅', '囿', '堬', '壝', '姷', '婑', '婾', '媃', '媨', '媮', '嬬', '孧', '孺', '宥', '寙', '岰', '峳', '崳', '嵛', '帷', '幼', '幽', '庮', '庾', '怮', '悠', '惟', '愈', '愉', '抭', '揄', '揉', '擩', '攸', '斔', '斞', '斿', '曘', '有', '柔', '柚', '桵', '梄', '楡', '楢', '楰', '楺', '榆', '槱', '櫾', '歈', '毹', '毺', '油', '泑', '洧', '浟', '渘', '渪', '游', '湵', '滺', '潍', '濡', '濰', '濻', '瀢', '煣', '燸', '牖', '牰', '狖', '猶', '猷', '琟', '瑈', '瑜', '瓇', '甤', '由', '痏', '瘉', '瘐', '癒', '眑', '睮', '禉', '禸', '秞', '窬', '窳', '籲', '糅', '維', '緌', '维', '羐', '羑', '羭', '聈', '脜', '腬', '腴', '臾', '芕', '茰', '荽', '莠', '莸', '萮', '萸', '葇', '蒏', '蓶', '蕍', '蕕', '蕤', '薷', '蚰', '蚴', '蜏', '蜼', '蝓', '蝚', '蝣', '蝤', '螤', '螸', '裕', '褎', '褏', '褕', '襦', '覦', '觎', '誘', '諛', '諭', '讉', '诱', '谀', '谕', '貁', '貐', '趡', '踓', '踰', '蹂', '輏', '輮', '輶', '迶', '逌', '逰', '逾', '遊', '遗', '遺', '邎', '鄃', '酉', '酭', '醀', '醹', '釉', '鈾', '銪', '鍒', '鍮', '鑐', '铀', '铕', '隃', '鞣', '韖', '顬', '颥', '騟', '騥', '鮋', '鮪', '鰇', '鱬', '鲉', '鲔', '鶔', '黝', '鼬', '龥', '㐡', '㐵', '㒡', '㓜', '㔱', '㔽', '㕗', '㗀', '㛜', '㡏', '㣸', '㥚', '㧫', '㫍', '㫿', '㬰', '㳊', '㳛', '㳶', '㳺', '㴗', '㶋', '㶙', '㶭', '㹘', '㹨', '㺄', '㺠', '㻀', '㻥', '㼌', '㼶', '㽔', '㽕', '㽥', '㾞', '䀁', '䂋', '䃋', '䅎', '䅑', '䅗', '䆜', '䐓', '䑊', '䑻', '䒴', '䔀', '䗽', '䘱', '䚃', '䛕', '䛻', '䜅', '䜽', '䞕', '䞥', '䢊', '䢟', '䧷', '䩱', '䪋', '䫱', '䬀', '䬔', '䰆', '䰭', '䰰', '䱂', '䳑', '䵋']"
조,257,"['伄', '佻', '俎', '傮', '兆', '凋', '刁', '刟', '助', '厝', '叼', '唕', '唣', '啁', '嘈', '嘲', '噪', '垗', '奝', '嬥', '宨', '嶆', '幧', '庣', '弔', '彫', '徂', '恌', '慥', '懆', '找', '抓', '措', '操', '旐', '早', '晀', '晁', '曌', '曹', '曺', '朓', '朝', '条', '枛', '枣', '栆', '梍', '條', '棗', '槽', '樢', '樤', '殂', '殦', '汈', '沠', '漕', '潮', '澡', '灶', '照', '燥', '燳', '爪', '爫', '爼', '狣', '珇', '琱', '瑵', '璪', '瘹', '皁', '皂', '盄', '眺', '瞗', '瞾', '碉', '祖', '祚', '祧', '租', '稠', '穒', '窎', '窕', '窱', '窵', '竃', '竈', '竨', '笊', '箌', '簓', '粗', '粜', '糙', '糟', '糶', '組', '絛', '絩', '縧', '繰', '组', '绦', '缲', '罀', '罩', '罺', '羄', '聎', '肁', '肇', '肈', '肏', '胙', '脁', '臊', '艁', '艚', '茑', '荮', '莇', '莜', '葤', '蒩', '蓧', '蓸', '蔦', '薻', '藋', '藻', '蚤', '蛁', '蜩', '螩', '螬', '褿', '襙', '覜', '訋', '詔', '誂', '調', '謯', '謿', '譟', '诏', '调', '赵', '趒', '趙', '趮', '蹧', '躁', '造', '遭', '鄵', '醩', '釂', '釕', '釣', '鈟', '銚', '銱', '鋚', '鋽', '錭', '鎥', '鎺', '鏪', '鐰', '鑃', '钌', '钓', '铞', '铫', '阻', '阼', '雕', '雿', '靎', '靻', '鞗', '駋', '駣', '髞', '魡', '鮉', '鮡', '鯈', '鯛', '鰷', '鲦', '鲷', '鳥', '鵰', '鸟', '麆', '鼂', '鼌', '㒛', '㓮', '㕚', '㚋', '㜖', '㟘', '㡑', '㡟', '㡽', '㣿', '㨄', '㬽', '㭤', '㮻', '㯥', '㯾', '㷖', '㷮', '㸠', '㺐', '䂏', '䄚', '䆆', '䆴', '䈇', '䉆', '䍜', '䍮', '䎭', '䏆', '䐬', '䒃', '䒒', '䔃', '䔘', '䔙', '䖣', '䖺', '䗢', '䘟', '䜊', '䝖', '䞴', '䟭', '䠷', '䢐', '䥄', '䧂', '䩦', '䯾', '䱔', '䳂', '䵲']"
부,245,"['仅', '仆', '付', '伕', '俘', '俯', '偩', '傅', '冨', '凫', '剖', '副', '剻', '勏', '吥', '否', '呋', '咅', '咐', '哹', '嚩', '坿', '垺', '埠', '夫', '妇', '妋', '姇', '娐', '娝', '婄', '婦', '媍', '孚', '孵', '富', '専', '尃', '峊', '巬', '巭', '府', '廍', '弣', '怀', '怤', '懯', '扶', '抔', '抙', '拊', '捊', '捬', '掊', '敷', '斧', '旉', '暊', '枎', '柎', '桴', '棓', '椨', '榑', '殕', '泭', '浮', '涪', '渓', '溥', '滏', '烰', '焤', '父', '犃', '玞', '玸', '琈', '璷', '瓿', '畉', '痡', '砆', '磗', '祔', '禣', '秿', '稃', '竎', '符', '筟', '箁', '篰', '簿', '粰', '糐', '紑', '紨', '綒', '緮', '缶', '缹', '缻', '罘', '罦', '肤', '胕', '腐', '腑', '腝', '膚', '艀', '芙', '芣', '苻', '荴', '莩', '萯', '蔀', '蚨', '蚹', '蛗', '蜉', '蝜', '衭', '袝', '裒', '褔', '訃', '詂', '讣', '豧', '負', '賦', '賻', '负', '赋', '赙', '赴', '趺', '跗', '踎', '邞', '郙', '郛', '部', '郶', '鄜', '酜', '釜', '釡', '鈇', '鉜', '錇', '锫', '阜', '阝', '附', '陚', '雬', '頫', '颫', '餢', '駙', '驸', '鬴', '鮒', '鲋', '鳧', '鳬', '鳺', '鴀', '麩', '麬', '麱', '麸', '麹', '﨓', '㓡', '㕊', '㕮', '㟊', '㠫', '㠬', '㠸', '㤔', '㤱', '㥉', '㧵', '㨐', '㩤', '㫙', '㭥', '㭪', '㰴', '㲗', '㵚', '㷆', '㷌', '㽬', '㾈', '䂤', '䃿', '䄮', '䊿', '䋨', '䍌', '䍍', '䍒', '䎍', '䎔', '䎧', '䏽', '䑧', '䒀', '䒄', '䒇', '䓏', '䓨', '䓵', '䔰', '䗄', '䘀', '䝾', '䞜', '䞯', '䞸', '䟔', '䠵', '䡍', '䦣', '䨗', '䪔', '䪖', '䫍', '䬏', '䭸', '䮛', '䯽', '䱐', '䳕', '䳝', '䴸', '䴺', '䵾']"
정,243,"['丁', '丼', '井', '亭', '仃', '佂', '侦', '侱', '侹', '停', '偵', '净', '凈', '叮', '呈', '啨', '啶', '圢', '埕', '埥', '埩', '塣', '奵', '妌', '姃', '娗', '婙', '婧', '婷', '媜', '宑', '定', '寊', '屲', '嵉', '嵿', '帄', '帧', '幀', '庭', '廷', '征', '徎', '徰', '忊', '怔', '悜', '情', '愸', '挰', '挺', '掟', '揁', '揨', '政', '整', '旌', '旍', '晶', '晸', '朾', '枨', '柽', '柾', '栕', '桢', '桯', '梃', '梷', '棖', '椗', '楟', '楨', '榳', '橸', '檉', '檙', '正', '汀', '汫', '汬', '泟', '浄', '浈', '涏', '淀', '淨', '渟', '湞', '濎', '濪', '瀞', '灯', '炡', '烶', '玎', '珵', '珽', '琔', '町', '甼', '疔', '盯', '眐', '睁', '睈', '睛', '睜', '矴', '碇', '碠', '碵', '磸', '祯', '禎', '程', '穽', '竧', '竫', '筳', '箐', '精', '糽', '綎', '緽', '耓', '耵', '聇', '聙', '聢', '聤', '肼', '脡', '脭', '腈', '腚', '艇', '艼', '莛', '萣', '葶', '薡', '虰', '蛏', '蜓', '蝊', '蝏', '蟶', '裎', '訂', '証', '誔', '諪', '订', '证', '貞', '贞', '赪', '赬', '踭', '遉', '邒', '郑', '鄭', '酊', '酲', '釘', '鉦', '鋌', '鋥', '錠', '鐤', '钉', '钲', '铤', '锃', '锭', '閮', '阱', '阷', '霆', '靓', '靖', '靗', '靘', '静', '靚', '靜', '靪', '鞓', '頂', '頲', '頳', '顁', '顶', '颋', '飣', '饤', '鴊', '鼎', '鼑', '鼮', '鼱', '㓅', '㘫', '㝎', '㡠', '㡧', '㣏', '㣔', '㫀', '㫌', '㱏', '㲂', '㴿', '㵾', '㷚', '㹶', '㼗', '㽀', '䁎', '䂻', '䄇', '䅍', '䆑', '䆵', '䆸', '䇸', '䈣', '䊒', '䋊', '䋼', '䗴', '䞓', '䟓', '䦐', '䦺', '䩠', '䩶', '䯕', '䰳', '䱓', '䵺']"
